dataset,file,resolution,n_rows,n_cols,square,date_range,n_zones_covered,checked_at
flowminder,flowminder__inflow__static.matrix.csv,static,437,437,True,,437,2026-05-25T14:19:20+00:00
flowminder,flowminder__outflow__static.matrix.csv,static,437,437,True,,437,2026-05-25T14:19:20+00:00
