nom,date,total_poe_ sanitised
Nizi,5/20/26,0
Bunia,5/20/26,544
Rwampara,5/20/26,102
Tchomia,5/20/26,291
Nyakunde,5/20/26,0
Mongbalu,5/20/26,0
Aru,5/20/26,718
Mahagi,5/20/26,184
Nizi,5/21/26,0
Bunia,5/21/26,1473
Rwampara,5/21/26,940
Tchomia,5/21/26,130
Nyakunde,5/21/26,0
Mongbalu,5/21/26,0
Nizi,5/22/26,ND
Bunia,5/22/26,3360
Rwampara,5/22/26,3152
Tchomia,5/22/26,167
Nyakunde,5/22/26,ND
Mongbalu,5/22/26,ND
Aru,5/22/26,1143
